Origin_Node,Origin_Lon,Origin_Lat,Dest_Node,Dest_Lon,Dest_Lat,Distance_km,Is_On_Optimal_Route
FEVZİ ÇAKMAK CADDESİ,28.7165869999779,40.9984380005531,MARMARA CADDESİ,28.6384696686707,40.9707685137959,11.460700000000001,0
FEVZİ ÇAKMAK CADDESİ,28.7165869999779,40.9984380005531,BULGURLU CADDESİ,29.074887999991,41.0155670005563,40.7483,0
FEVZİ ÇAKMAK CADDESİ,28.7165869999779,40.9984380005531,HZ.EBUBEKİR CAMİİ,28.8684480169388,41.0343219939212,21.0096,0
FEVZİ ÇAKMAK CADDESİ,28.7165869999779,40.9984380005531,MARMARA ÜNİVERSİTESİ HASTANESİ,29.2609176000096,40.8867881991193,59.037699999999994,0
FEVZİ ÇAKMAK CADDESİ,28.7165869999779,40.9984380005531,ŞEHİT AHMET KOCABAY ANADOLU İMAM HATİP LİSESİ,28.6389676521734,41.026657223589,9.0801,0
FEVZİ ÇAKMAK CADDESİ,28.7165869999779,40.9984380005531,AYDINLI YOLU CADDESİ,29.3134769999944,40.8538150005308,63.771800000000006,0
FEVZİ ÇAKMAK CADDESİ,28.7165869999779,40.9984380005531,ATATÜRK BULVARI,28.6511749999728,40.9977050005529,8.300799999999999,0
FEVZİ ÇAKMAK CADDESİ,28.7165869999779,40.9984380005531,SANCAKTEPE,28.7201099999774,41.2099450005872,41.868900000000004,0
FEVZİ ÇAKMAK CADDESİ,28.7165869999779,40.9984380005531,KALYON SOKAK,29.2261769999934,40.9066820005391,54.341,0
FEVZİ ÇAKMAK CADDESİ,28.7165869999779,40.9984380005531,İNCİRTEPE,28.6857659999756,41.0237230005571,5.1415,1
FEVZİ ÇAKMAK CADDESİ,28.7165869999779,40.9984380005531,HALK EKMEK,28.0419759997698,41.0523120005556,61.3273,0
FEVZİ ÇAKMAK CADDESİ,28.7165869999779,40.9984380005531,KARANFİL ALTI,29.0228779545137,41.0926269778923,35.095699999999994,0
FEVZİ ÇAKMAK CADDESİ,28.7165869999779,40.9984380005531,HAREKET SİTESİ,29.0360669999902,41.0748590005658,34.3888,0
FEVZİ ÇAKMAK CADDESİ,28.7165869999779,40.9984380005531,YUNUS,29.2084999999932,40.8829430005353,57.704800000000006,0
FEVZİ ÇAKMAK CADDESİ,28.7165869999779,40.9984380005531,SOĞUKSU MAHALLESİ,29.1621690436412,41.1740460261898,59.913599999999995,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,FEVZİ ÇAKMAK CADDESİ,28.7165869999779,40.9984380005531,33.7929,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,ŞERİF AĞA,28.0021162614193,41.0972543820986,51.291599999999995,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,AYDIN,28.6743659999746,41.0336980005586,29.718700000000002,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,ŞEHİT EROL OLÇOK,29.0419569999904,41.0213840005572,64.5942,0
