LATITUDE,LONGITUDE,AVERAGE_SPEED,MAXIMUM_SPEED,NUMBER_OF_VEHICLES
40.7675170898438,29.4268798828125,33.67741935483871,68,22.225806451612904
40.7730102539063,29.4158935546875,66.45161290322581,103,8.32258064516129
40.7730102539063,29.4268798828125,50.67741935483871,98,33.16129032258065
40.7785034179688,29.4158935546875,60.87096774193548,128,34.32258064516129
40.7839965820313,29.4158935546875,49.806451612903224,135,194.32258064516128
40.7839965820313,29.4268798828125,49.45161290322581,143,77.80645161290323
40.7894897460938,29.3939208984375,39.90909090909091,74,1.0909090909090908
40.7894897460938,29.4049072265625,66.7741935483871,161,347.03225806451616
40.7894897460938,29.4158935546875,61.225806451612904,162,422.6774193548387
40.7894897460938,29.4268798828125,68.90322580645162,160,306.4193548387097
40.7949829101563,29.3829345703125,75.12903225806451,145,124.64516129032258
40.7949829101563,29.3939208984375,72.61290322580645,155,346.61290322580646
40.7949829101563,29.4049072265625,71.7741935483871,130,37.96774193548387
40.7949829101563,29.4268798828125,74.74193548387096,168,202.25806451612902
40.7949829101563,29.4378662109375,66.51612903225806,164,355.2258064516129
40.8004760742188,29.3829345703125,63.38709677419355,168,253.2258064516129
40.8059692382813,29.3719482421875,76.09677419354838,157,301.93548387096774
40.8059692382813,29.3829345703125,75.16129032258064,160,111.2258064516129
40.8114624023438,29.3609619140625,51.225806451612904,139,221.2258064516129
40.8114624023438,29.3719482421875,72.09677419354838,156,263.48387096774195
40.8169555664063,29.3170166015625,20.366666666666667,45,4.566666666666666
40.8169555664063,29.3609619140625,61.32258064516129,149,489.51612903225805
40.8169555664063,29.3719482421875,65.0,65,1.0
40.8224487304688,29.3170166015625,43.87096774193548,90,25.096774193548388
40.8224487304688,29.3280029296875,46.96774193548387,105,62.32258064516129
40.8224487304688,29.3499755859375,55.03225806451613,147,208.2258064516129
40.8224487304688,29.3609619140625,69.45161290322581,150,309.03225806451616
40.8224487304688,29.4378662109375,99.09677419354838,162,25.612903225806452
40.8279418945313,29.3280029296875,45.096774193548384,109,79.0
40.8279418945313,29.3389892578125,71.96774193548387,147,210.38709677419354
40.8279418945313,29.3499755859375,60.354838709677416,146,139.7741935483871
40.8279418945313,29.3609619140625,79.3225806451613,158,166.06451612903226
40.8279418945313,29.3719482421875,81.83870967741936,157,114.35483870967742
40.8279418945313,29.4268798828125,97.12903225806451,156,11.838709677419354
40.8279418945313,29.4378662109375,96.61290322580645,168,129.3548387096774
40.8334350585938,29.3280029296875,61.483870967741936,154,378.80645161290323
40.8334350585938,29.3389892578125,78.58064516129032,158,136.25806451612902
40.8334350585938,29.3719482421875,85.3225806451613,188,230.8709677419355
40.8334350585938,29.4158935546875,89.25806451612904,154,21.06451612903226
40.8334350585938,29.4268798828125,92.90322580645162,156,165.93548387096774
40.8389282226563,29.3060302734375,70.21428571428571,104,2.607142857142857
40.8389282226563,29.3170166015625,81.19354838709677,177,263.2258064516129
40.8389282226563,29.3280029296875,74.16129032258064,135,72.80645161290323
40.8389282226563,29.3719482421875,89.3225806451613,185,177.25806451612902
40.8389282226563,29.4158935546875,93.25806451612904,163,188.32258064516128
40.8444213867188,29.2950439453125,33.54838709677419,99,193.19354838709677
40.8444213867188,29.3060302734375,73.7741935483871,161,279.5483870967742
40.8444213867188,29.3170166015625,84.06451612903226,154,9.548387096774194
40.8444213867188,29.3719482421875,91.16129032258064,193,146.4516129032258
40.8444213867188,29.4158935546875,94.29032258064517,178,163.83870967741936
40.8499145507813,29.2950439453125,39.354838709677416,158,613.1612903225806
40.8499145507813,29.3060302734375,40.483870967741936,140,144.32258064516128
40.8499145507813,29.3170166015625,62.064516129032256,111,8.290322580645162
40.8499145507813,29.3719482421875,83.0,166,242.93548387096774
40.8499145507813,29.4049072265625,91.19354838709677,150,23.258064516129032
40.8499145507813,29.4158935546875,92.54838709677419,168,177.16129032258064
40.8554077148438,29.2730712890625,43.74193548387097,99,70.70967741935483
40.8554077148438,29.2840576171875,37.61290322580645,143,395.9032258064516
40.8554077148438,29.2950439453125,34.03225806451613,137,487.258064516129
40.8554077148438,29.3170166015625,66.48387096774194,133,105.90322580645162
40.8554077148438,29.3719482421875,76.12903225806451,183,262.0967741935484
40.8554077148438,29.3829345703125,70.06451612903226,126,9.806451612903226
40.8554077148438,29.4049072265625,91.90322580645162,179,263.5483870967742
40.8609008789063,29.2730712890625,44.25806451612903,148,325.93548387096774
40.8609008789063,29.2840576171875,47.45161290322581,138,340.6774193548387
40.8609008789063,29.2950439453125,23.193548387096776,67,42.61290322580645
40.8609008789063,29.3170166015625,60.516129032258064,134,68.70967741935483
